ListID,Name,Description,Date,Status
1,Task 1,Complete research for upcoming project,2023-08-10,In Progress
2,Task 2,Write a blog post about travel tips,2023-08-12,To Do
3,Task 3,Review and edit final draft of presentation,2023-08-15,To Do
4,Task 4,Prepare ingredients for new recipe,2023-08-08,Completed
5,Task 5,Call potential client to discuss proposal,2023-08-09,In Progress
6,Task 6,Attend team meeting and provide project update,2023-08-11,Completed
7,Task 7,Clean and organize workspace,2023-08-07,Completed
8,Task 8,Research new software tools for productivity,2023-08-13,To Do
9,Task 9,Create outline for upcoming workshop,2023-08-14,To Do
10,Task 10,Follow up with vendor regarding order status,2023-08-09,Completed
